,id,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bedrooms,beds,price,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,bathrooms,puntuacion_media
4089,16819315,0,1,Alameda de Osuna,Barajas,Private room in apartment,Private room,1.0,1.0,45.0,177,3,1,0.06,1.0,2.3333333333333335
4091,16825258,1,1,Palos de Moguer,Arganzuela,Entire apartment,Entire home/apt,1.0,2.0,65.0,364,81,1,1.6,1.0,4.875
4092,16830228,0,0,Sol,Centro,Entire apartment,Entire home/apt,1.0,1.0,93.0,365,1,16,0.02,1.0,5.0
4097,16841195,0,1,Sol,Centro,Entire house,Entire home/apt,3.0,8.0,179.0,0,102,1,2.01,1.0,4.75
4098,16848849,0,1,Goya,Salamanca,Entire apartment,Entire home/apt,2.0,2.0,97.0,168,30,8,0.59,1.0,4.888888888888889
4099,16851987,1,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,2.0,173.0,365,16,1,0.34,2.0,4.428571428571429
4100,16855096,0,1,Adelfas,Retiro,Entire loft,Entire home/apt,1.0,1.0,50.0,0,1,1,0.02,1.0,4.0
4101,16856445,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,3.0,75.0,146,162,59,3.14,1.0,4.6976744186046515
4102,16856941,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,99.0,47,27,1,0.53,1.0,4.739130434782608
4103,16865230,1,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,172.0,355,21,62,0.44,1.0,4.933333333333334
4104,16867707,0,0,Casa de Campo,Moncloa - Aravaca,Entire apartment,Entire home/apt,1.0,1.0,49.0,288,120,1,2.34,1.0,4.720430107526882
4105,16868660,0,0,Aguilas,Latina,Private room in house,Private room,2.0,2.0,20.0,0,1,1,0.02,1.0,4.0
4106,16869068,1,0,Comillas,Carabanchel,Private room in apartment,Private room,1.0,3.0,20.0,89,200,2,3.9,1.0,4.617449664429531
4107,16870313,0,1,Portazgo,Puente de Vallecas,Entire apartment,Entire home/apt,2.0,2.0,55.0,24,2,1,0.04,1.0,5.0
4108,16872465,1,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,0.0,89.0,349,249,2,5.11,1.5,4.889502762430939
4109,16875193,1,1,Recoletos,Salamanca,Entire apartment,Entire home/apt,2.0,2.0,87.0,304,26,3,0.52,1.0,4.956521739130435
4110,16876906,0,0,San Isidro,Carabanchel,Private room in apartment,Private room,1.0,1.0,24.0,364,80,2,1.57,1.0,4.636363636363637
4111,16889632,1,1,Alameda de Osuna,Barajas,Private room in apartment,Private room,1.0,1.0,33.0,71,574,1,11.2,1.0,4.833333333333333
4112,16891620,1,1,Almagro,Chamberí,Entire apartment,Entire home/apt,1.0,1.0,159.0,135,98,67,1.97,1.5,4.717948717948718
4113,16891684,0,0,Pacífico,Retiro,Private room in apartment,Private room,1.0,1.0,30.0,0,3,4,0.06,Nan,5.0
4114,16893803,0,1,Canillas,Hortaleza,Private room in house,Private room,1.0,1.0,15.0,0,5,1,0.17,1.0,4.2
4116,16902221,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,53.0,11,86,1,1.7,1.0,4.682539682539683
4117,16905378,0,0,Cortes,Centro,Entire apartment,Entire home/apt,1.0,1.0,65.0,0,3,1,0.06,1.0,3.0
4118,16906233,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,1.0,3.0,73.0,365,74,1,1.45,1.0,4.578947368421052
4119,16907257,0,1,Hispanoamérica,Chamartín,Entire apartment,Entire home/apt,1.0,1.0,74.0,365,218,2,4.39,1.0,4.704545454545454
4120,16907268,0,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,3.0,91.0,130,138,59,2.69,1.0,4.371428571428571
4122,16908402,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,4.0,59.0,289,3,3,0.06,1.0,5.0
4123,16909270,0,1,Pacífico,Retiro,Entire apartment,Entire home/apt,2.0,3.0,110.0,243,332,6,6.48,1.0,4.761904761904762
4124,16910523,0,1,Recoletos,Salamanca,Entire apartment,Entire home/apt,2.0,2.0,82.0,155,72,12,1.41,2.0,4.232142857142857
4125,16911322,0,1,Numancia,Puente de Vallecas,Private room in apartment,Private room,1.0,3.0,15.0,0,20,2,0.39,1.5,4.125
4127,16914890,0,1,Hispanoamérica,Chamartín,Entire apartment,Entire home/apt,2.0,3.0,106.0,104,79,6,1.56,1.0,4.588235294117647
4128,16924691,1,1,Santa Eugenia,Villa de Vallecas,Entire apartment,Entire home/apt,2.0,0.0,76.0,0,134,1,2.62,1.0,4.710280373831775
4129,16925766,0,1,Sol,Centro,Private room in apartment,Private room,1.0,1.0,33.0,219,140,3,2.82,1.0,4.756756756756757
4130,16926933,1,0,Atocha,Arganzuela,Entire apartment,Entire home/apt,2.0,2.0,81.0,89,102,1,2.02,1.0,4.873239436619718
4132,16930839,0,0,Cortes,Centro,Private room in apartment,Private room,1.0,1.0,54.0,180,3,2,0.06,1.0,3.0
4133,16940985,1,0,Sol,Centro,Private room in apartment,Private room,1.0,2.0,42.0,267,99,2,1.93,1.5,4.8311688311688314
4134,16942481,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,76.0,0,114,2,2.22,1.0,4.8125
4135,16943785,0,0,Goya,Salamanca,Private room in apartment,Private room,1.0,1.0,29.0,364,27,1,0.54,1.0,4.857142857142857
4136,16944475,0,1,Puerta del Angel,Latina,Private room in apartment,Private room,1.0,0.0,19.0,0,64,4,1.27,1.0,4.583333333333333
4137,16961066,0,1,Recoletos,Salamanca,Entire apartment,Entire home/apt,2.0,1.0,187.0,262,2,12,0.04,2.0,4.5
4139,16971324,0,1,Aluche,Latina,Private room in house,Private room,1.0,1.0,30.0,364,16,1,0.32,1.0,4.777777777777778
4140,16985240,0,0,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,60.0,336,102,1,2.0,1.0,4.7625
4141,17003123,0,1,Acacias,Arganzuela,Entire apartment,Entire home/apt,3.0,4.0,129.0,92,190,59,3.72,2.0,4.612244897959184
4143,17007271,0,1,Berruguete,Tetuán,Entire apartment,Entire home/apt,3.0,4.0,90.0,149,64,1,1.33,1.5,4.565217391304348
4144,17012028,0,0,Universidad,Centro,Entire apartment,Entire home/apt,2.0,2.0,80.0,0,14,1,0.29,1.0,4.6923076923076925
4145,17019062,0,0,Goya,Salamanca,Entire apartment,Entire home/apt,1.0,2.0,90.0,288,5,1,0.1,1.0,4.6
4146,17019106,1,1,Acacias,Arganzuela,Entire apartment,Entire home/apt,1.0,2.0,85.0,0,23,1,0.48,1.5,4.75
4147,17019510,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,109.0,362,8,18,0.17,1.0,3.8333333333333335
4148,17020361,0,0,Cortes,Centro,Entire house,Entire home/apt,2.0,2.0,126.0,0,62,1,1.26,2.0,4.466666666666667
4149,17030232,0,1,Nueva España,Chamartín,Entire apartment,Entire home/apt,2.0,3.0,80.0,359,143,1,2.84,1.0,4.567796610169491
4151,17032853,0,1,Castillejos,Tetuán,Private room in apartment,Private room,1.0,4.0,93.0,0,22,1,0.44,1.5,4.866666666666666
4152,17032903,0,1,Lista,Salamanca,Entire apartment,Entire home/apt,2.0,5.0,134.0,164,13,25,0.27,2.5,4.545454545454546
4153,17033015,0,1,Delicias,Arganzuela,Private room in apartment,Private room,1.0,1.0,21.0,0,31,3,0.61,1.0,4.681818181818182
4154,17034469,0,1,Universidad,Centro,Entire apartment,Entire home/apt,4.0,5.0,220.0,288,87,4,1.72,2.0,4.676470588235294
4155,17035580,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,78.0,89,112,12,2.24,1.0,4.691358024691358
4157,17042796,0,1,Los Angeles,Villaverde,Private room in apartment,Private room,1.0,1.0,23.0,25,105,3,2.06,1.0,4.5125
4159,17049631,0,0,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,131.0,365,38,8,0.75,1.0,4.685714285714286
4160,17051223,1,1,Lista,Salamanca,Entire apartment,Entire home/apt,1.0,2.0,62.0,109,96,1,1.91,1.0,4.888888888888889
4161,17051495,1,1,Rios Rosas,Chamberí,Entire apartment,Entire home/apt,2.0,2.0,140.0,169,89,6,1.76,1.5,4.746268656716418
4162,17071309,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,3.0,63.0,1,133,2,2.67,1.0,4.857142857142857
4163,17072183,1,1,Hellín,San Blas - Canillejas,Entire apartment,Entire home/apt,3.0,3.0,39.0,333,96,1,1.89,2.0,4.4935064935064934
4165,17076430,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,59.0,304,209,7,4.13,1.0,4.634730538922156
4166,17087387,0,1,Imperial,Arganzuela,Private room in apartment,Private room,1.0,1.0,36.0,365,5,7,0.1,1.5,4.75
4167,17118616,0,1,Casco Histórico de Vallecas,Villa de Vallecas,Entire loft,Entire home/apt,1.0,1.0,56.0,285,87,1,1.76,2.0,4.521739130434782
4168,17121956,1,1,Pacífico,Retiro,Entire apartment,Entire home/apt,1.0,1.0,53.0,66,54,1,1.1,1.0,4.7894736842105265
4169,17123595,0,0,Pilar,Fuencarral - El Pardo,Private room in apartment,Private room,1.0,1.0,10.0,0,1,1,0.02,1.0,4.0
4170,17128102,1,1,Arapiles,Chamberí,Entire apartment,Entire home/apt,1.0,1.0,122.0,270,19,3,0.39,2.0,4.714285714285714
4171,17130106,0,1,Canillas,Hortaleza,Private room in condominium,Private room,1.0,1.0,16.0,109,346,2,6.84,1.0,4.613333333333333
4174,17135642,0,1,Sol,Centro,Entire apartment,Entire home/apt,2.0,3.0,142.0,115,119,16,2.36,1.0,4.794117647058823
4176,17150691,1,1,Arcos,San Blas - Canillejas,Entire apartment,Entire home/apt,2.0,2.0,36.0,132,9,2,0.2,1.0,4.25
4177,17152296,0,1,Embajadores,Centro,Entire loft,Entire home/apt,1.0,1.0,69.0,104,274,1,5.39,1.0,4.823529411764706
4178,17152449,0,0,Ventas,Ciudad Lineal,Private room in apartment,Private room,1.0,1.0,20.0,0,5,1,0.1,1.0,3.2
4180,17153112,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,46.0,122,125,2,2.49,1.0,4.623655913978495
4181,17163932,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,3.0,70.0,0,171,4,3.38,1.5,4.7972027972027975
4182,17166723,1,1,Castellana,Salamanca,Private room in apartment,Private room,1.0,1.0,45.0,364,164,2,3.23,1.5,4.898550724637682
4183,17168215,0,1,Cuatro Caminos,Tetuán,Entire apartment,Entire home/apt,1.0,1.0,57.0,179,103,2,2.11,1.0,4.651162790697675
4184,17168592,1,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,2.0,96.0,350,128,4,2.53,1.0,4.612903225806452
4185,17174817,1,1,Embajadores,Centro,Private room in apartment,Private room,1.0,2.0,25.0,311,129,1,3.44,1.0,4.764705882352941
4186,17182264,0,1,Sol,Centro,Entire apartment,Entire home/apt,2.0,4.0,89.0,350,219,53,4.35,2.0,4.785714285714286
4187,17182431,0,1,Palacio,Centro,Private room in apartment,Private room,1.0,1.0,45.0,0,3,1,0.06,2.5,5.0
4188,17182598,0,0,Casco Histórico de Vicálvaro,Vicálvaro,Entire apartment,Entire home/apt,2.0,2.0,150.0,365,16,1,0.32,2.0,4.6875
4189,17184010,0,0,Sol,Centro,Entire apartment,Entire home/apt,2.0,4.0,107.0,365,8,16,0.16,1.0,4.75
4190,17186188,0,1,Almagro,Chamberí,Entire serviced apartment,Entire home/apt,1.0,2.0,155.0,0,1,22,0.02,1.5,5.0
4191,17186995,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,59.0,318,16,7,0.33,1.0,4.571428571428571
4193,17197503,1,1,Sol,Centro,Entire apartment,Entire home/apt,2.0,3.0,106.0,364,125,4,2.49,1.0,4.674698795180723
4194,17197779,0,0,Sol,Centro,Entire apartment,Entire home/apt,2.0,4.0,200.0,90,6,16,0.12,1.0,3.6666666666666665
4195,17198066,1,1,Atocha,Arganzuela,Entire apartment,Entire home/apt,5.0,6.0,125.0,0,104,4,2.11,2.0,4.773333333333333
4196,17205668,0,0,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,77.0,166,16,1,0.33,1.5,5.0
4199,17209498,1,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,1.0,65.0,190,135,67,2.66,1.0,4.762886597938144
4200,17210019,0,0,Los Angeles,Villaverde,Private room in apartment,Private room,1.0,1.0,15.0,0,1,4,0.07,1.5,5.0
4201,17210137,0,0,Nueva España,Chamartín,Private room in apartment,Private room,1.0,1.0,70.0,173,4,1,0.08,1.5,5.0
4202,17210478,0,0,Los Angeles,Villaverde,Private room in house,Private room,1.0,1.0,14.0,0,1,4,0.03,1.5,5.0
4204,17210902,0,0,Los Angeles,Villaverde,Private room in apartment,Private room,1.0,1.0,13.0,0,5,4,0.17,1.5,4.5
4205,17215188,1,0,Justicia,Centro,Entire condominium,Entire home/apt,1.0,1.0,48.0,72,85,1,1.69,1.0,4.485714285714286
4207,17233769,0,1,Quintana,Ciudad Lineal,Entire apartment,Entire home/apt,2.0,2.0,43.0,318,8,1,0.16,1.0,4.428571428571429
4209,17235126,0,0,Acacias,Arganzuela,Private room in apartment,Private room,1.0,1.0,38.0,87,5,1,0.1,1.0,3.5
4212,17244583,1,1,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,24.0,315,43,2,0.86,1.0,4.694444444444445
4213,17244920,0,1,Gaztambide,Chamberí,Entire apartment,Entire home/apt,1.0,1.0,103.0,185,13,113,0.26,1.0,4.8
4214,17246248,0,1,Buenavista,Carabanchel,Private room in apartment,Private room,1.0,1.0,21.0,179,7,1,0.14,1.0,3.7142857142857144
4215,17250141,0,1,Prosperidad,Chamartín,Entire apartment,Entire home/apt,3.0,4.0,136.0,0,118,3,2.33,2.0,4.755102040816326
4217,17261361,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,3.0,99.0,0,100,1,2.04,1.0,4.602941176470588
4218,17262995,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,2.0,159.0,77,123,5,2.49,2.0,4.75
4219,17267431,1,1,Hispanoamérica,Chamartín,Entire apartment,Entire home/apt,1.0,2.0,54.0,364,81,1,1.71,1.0,4.521739130434782
4220,17268275,0,0,Castillejos,Tetuán,Private room in condominium,Private room,1.0,1.0,53.0,319,17,2,0.35,1.5,4.466666666666667
4221,17279997,0,1,Cortes,Centro,Room in serviced apartment,Hotel room,1.0,2.0,63.0,3,33,24,0.66,1.0,4.538461538461538
4223,17284269,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,2.0,2.0,78.0,252,172,7,3.42,1.0,4.744525547445256
4224,17285106,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,25.0,0,57,1,1.14,1.0,4.69811320754717
4225,17290018,0,1,Recoletos,Salamanca,Entire apartment,Entire home/apt,3.0,3.0,175.0,263,127,12,2.52,2.0,4.761467889908257
4226,17290793,1,1,Delicias,Arganzuela,Entire apartment,Entire home/apt,1.0,1.0,52.0,77,182,1,3.6,1.0,4.815068493150685
4227,17290980,1,0,Cortes,Centro,Private room in apartment,Private room,1.0,1.0,52.0,90,60,1,1.19,2.0,4.816326530612245
4228,17306054,1,1,Concepción,Ciudad Lineal,Entire loft,Entire home/apt,1.0,2.0,66.0,90,5,11,0.11,1.0,4.666666666666667
4230,17309009,0,1,Almagro,Chamberí,Entire serviced apartment,Entire home/apt,1.0,2.0,80.0,1,1,22,0.07,1.0,5.0
4231,17317821,0,1,Sol,Centro,Entire apartment,Entire home/apt,2.0,3.0,177.0,216,15,43,0.32,2.0,4.333333333333333
4232,17317923,0,1,Bellas Vistas,Tetuán,Entire apartment,Entire home/apt,2.0,6.0,136.0,354,14,31,0.29,1.0,4.454545454545454
4233,17324637,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,75.0,74,132,1,2.62,1.0,4.794117647058823
4234,17325466,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,32.0,48,178,2,3.84,1.0,4.859259259259259
4235,17327293,0,1,Hispanoamérica,Chamartín,Entire apartment,Entire home/apt,1.0,1.0,38.0,257,18,1,0.43,1.5,3.588235294117647
4236,17328265,0,0,Recoletos,Salamanca,Entire apartment,Entire home/apt,1.0,1.0,100.0,0,6,1,0.12,1.0,4.666666666666667
4237,17329137,0,0,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,60.0,180,24,1,0.48,1.0,3.95
4238,17329518,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,40.0,354,170,20,3.44,1.0,4.708661417322834
4239,17330064,0,1,Estrella,Retiro,Private room in apartment,Private room,1.0,1.0,30.0,0,32,2,0.64,1.0,4.84
4241,17337052,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,84.0,88,15,1,0.3,1.0,4.333333333333333
4242,17343206,1,1,Lucero,Latina,Private room in apartment,Private room,1.0,1.0,16.0,74,9,2,0.18,1.0,4.5
4243,17352455,0,0,Argüelles,Moncloa - Aravaca,Entire apartment,Entire home/apt,2.0,3.0,96.0,0,62,1,1.23,2.0,4.488372093023256
4244,17362722,1,1,Universidad,Centro,Entire apartment,Entire home/apt,4.0,6.0,170.0,312,97,7,1.93,2.0,4.808219178082192
4246,17366325,0,0,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,45.0,180,5,1,0.1,1.0,4.75
4247,17367026,0,1,Guindalera,Salamanca,Entire apartment,Entire home/apt,2.0,2.0,56.0,0,9,1,0.18,1.0,4.375
4248,17370243,1,1,Concepción,Ciudad Lineal,Entire loft,Entire home/apt,1.0,2.0,66.0,76,8,11,0.16,1.0,4.833333333333333
4249,17375880,0,1,Recoletos,Salamanca,Room in aparthotel,Entire home/apt,1.0,1.0,102.0,258,18,113,0.36,1.0,4.294117647058823
4250,17377256,1,1,El Viso,Chamartín,Private room in apartment,Private room,1.0,1.0,37.0,89,10,1,0.2,1.0,5.0
4251,17378294,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,0.0,68.0,0,187,1,3.73,1.0,4.824561403508772
4252,17397156,0,0,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,82.0,267,100,1,2.02,1.5,4.714285714285714
4253,17398334,0,1,Simancas,San Blas - Canillejas,Private room in townhouse,Private room,1.0,1.0,29.0,318,25,1,0.5,1.0,4.619047619047619
4254,17398411,0,0,Sol,Centro,Entire loft,Entire home/apt,1.0,2.0,53.0,129,255,66,5.19,1.0,4.27979274611399
4256,17404004,0,1,Embajadores,Centro,Entire loft,Entire home/apt,1.0,1.0,79.0,0,1,1,0.02,1.0,5.0
4259,17418353,0,1,Sol,Centro,Entire apartment,Entire home/apt,2.0,3.0,135.0,0,167,59,3.33,1.0,4.688
4260,17418575,0,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,1.0,2.0,90.0,0,2,1,0.04,1.0,3.0
4261,17431939,0,1,Nueva España,Chamartín,Private room in condominium,Private room,1.0,1.0,30.0,364,32,1,0.64,1.0,4.413793103448276
4262,17432436,0,1,Palos de Moguer,Arganzuela,Entire apartment,Entire home/apt,1.0,2.0,62.0,259,185,1,3.96,1.0,4.772058823529412
4263,17451861,1,1,Berruguete,Tetuán,Entire house,Entire home/apt,1.0,2.0,43.0,35,105,1,2.15,1.0,4.7534246575342465
4264,17453051,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,68.0,154,116,1,2.35,1.0,4.922077922077922
4265,17454237,0,1,San Isidro,Carabanchel,Private room in apartment,Private room,1.0,1.0,25.0,88,6,1,0.12,1.0,4.8
4266,17454279,1,1,San Diego,Puente de Vallecas,Entire apartment,Entire home/apt,2.0,2.0,200.0,0,159,1,3.2,1.0,4.7592592592592595
4267,17455749,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,109.0,0,14,1,0.29,1.0,4.444444444444445
4268,17455814,0,1,Aravaca,Moncloa - Aravaca,Private room in apartment,Private room,1.0,1.0,35.0,104,14,6,0.32,2.0,4.857142857142857
4269,17460765,1,1,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,33.0,259,46,2,0.93,1.0,4.891891891891892
4271,17462715,0,1,Ventas,Ciudad Lineal,Private room in apartment,Private room,1.0,1.0,19.0,0,12,1,0.24,1.0,4.454545454545454
4272,17469186,0,1,Canillas,Hortaleza,Private room in condominium,Private room,1.0,1.0,14.0,110,236,2,4.76,1.0,4.626728110599078
4273,17469547,1,1,Palos de Moguer,Arganzuela,Entire apartment,Entire home/apt,1.0,2.0,168.0,247,10,28,0.21,1.0,4.555555555555555
4275,17473273,0,1,Sol,Centro,Private room in apartment,Private room,1.0,1.0,39.0,219,145,3,2.89,1.0,4.695652173913044
4276,17474153,0,1,Universidad,Centro,Entire loft,Entire home/apt,1.0,2.0,56.0,0,73,1,1.47,1.0,4.423728813559322
4278,17476122,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,60.0,278,188,18,3.88,1.0,4.675675675675675
4280,17477280,1,1,Palacio,Centro,Entire loft,Entire home/apt,3.0,3.0,179.0,344,104,2,2.94,2.0,4.904109589041096
4283,17485753,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,40.0,357,271,38,5.4,1.5,4.472727272727273
4284,17486133,0,1,Guindalera,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,100.0,0,69,1,1.41,1.0,4.520833333333333
4285,17488720,0,1,Almendrales,Usera,Entire apartment,Entire home/apt,1.0,1.0,73.0,0,20,1,0.4,1.0,4.833333333333333
4287,17497401,0,1,Sol,Centro,Entire apartment,Entire home/apt,3.0,6.0,151.0,67,28,4,0.57,1.0,4.695652173913044
4288,17502428,0,0,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,61.0,0,47,1,0.95,1.0,4.482758620689655
4289,17502840,1,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,3.0,99.0,72,97,1,1.96,1.0,4.739130434782608
4290,17508461,0,1,Ibiza,Retiro,Entire apartment,Entire home/apt,3.0,4.0,200.0,303,2,92,0.04,2.0,5.0
4291,17517955,1,0,Goya,Salamanca,Private room in apartment,Private room,1.0,1.0,25.0,181,33,1,0.67,1.0,4.739130434782608
4292,17520638,1,1,Sol,Centro,Entire condominium,Entire home/apt,2.0,2.0,136.0,0,163,8,3.31,1.0,4.8359375
4293,17520670,0,0,Simancas,San Blas - Canillejas,Private room in condominium,Private room,1.0,1.0,14.0,0,122,1,2.45,1.0,4.680851063829787
4295,17527525,0,1,Palos de Moguer,Arganzuela,Entire apartment,Entire home/apt,2.0,3.0,81.0,214,91,1,1.83,1.0,4.701492537313433
4296,17528707,1,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,32.0,0,112,3,2.34,1.0,4.775280898876405
4297,17529859,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,85.0,67,185,1,3.74,1.0,4.864661654135339
4298,17529938,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,39.0,350,136,3,2.76,1.0,4.728260869565218
4299,17530633,0,0,Palos de Moguer,Arganzuela,Private room in apartment,Private room,2.0,0.0,60.0,364,13,2,0.26,1.0,3.6363636363636362
4300,17535577,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,50.0,91,108,15,2.2,1.0,4.807228915662651
4302,17540342,0,1,Castellana,Salamanca,Entire house,Entire home/apt,2.0,4.0,200.0,245,1,92,0.06,2.0,5.0
4303,17541183,1,1,Los Angeles,Villaverde,Entire apartment,Entire home/apt,2.0,3.0,48.0,0,105,1,2.52,1.0,4.815789473684211
4304,17541730,0,1,Cortes,Centro,Room in serviced apartment,Hotel room,2.0,2.0,123.0,248,88,24,1.77,2.0,4.681818181818182
4305,17543080,0,1,Valverde,Fuencarral - El Pardo,Private room in apartment,Private room,1.0,1.0,40.0,0,8,1,0.17,1.0,5.0
4306,17548891,0,1,Lista,Salamanca,Entire apartment,Entire home/apt,1.0,2.0,79.0,0,112,1,2.28,1.0,4.593406593406593
4307,17549836,0,1,Palacio,Centro,Entire apartment,Entire home/apt,3.0,4.0,150.0,0,97,4,1.98,3.0,4.368421052631579
4308,17553971,1,0,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,93.0,258,68,1,1.38,1.5,4.78
4309,17561528,0,1,Universidad,Centro,Private room in apartment,Private room,2.0,9.0,38.0,359,128,3,2.55,1.0,4.40952380952381
4310,17565752,0,0,Apostol Santiago,Hortaleza,Private room in house,Private room,1.0,1.0,35.0,364,5,1,0.1,1.0,4.2
4311,17567666,0,0,Ciudad Jardín,Chamartín,Private room in house,Private room,1.0,1.0,29.0,0,1,1,0.02,1.0,5.0
4312,17567800,1,1,Delicias,Arganzuela,Entire apartment,Entire home/apt,3.0,4.0,86.0,0,102,1,2.06,2.0,4.841269841269841
4314,17571280,1,0,Palacio,Centro,Private room in apartment,Private room,1.0,3.0,40.0,0,57,1,1.14,1.0,4.674418604651163
4315,17571687,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,53.0,277,36,4,0.72,1.0,4.75
4318,17597559,1,1,Trafalgar,Chamberí,Entire apartment,Entire home/apt,1.0,1.0,65.0,257,26,1,0.52,1.0,4.578947368421052
4319,17598320,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,31.0,365,11,3,0.22,1.0,4.0
4320,17599686,0,1,Puerta del Angel,Latina,Private room in apartment,Private room,1.0,2.0,17.0,0,74,4,1.51,1.0,4.381818181818182
4321,17602071,1,1,Justicia,Centro,Entire apartment,Entire home/apt,2.0,3.0,165.0,105,129,2,2.65,1.5,4.808510638297872
4322,17603392,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,72.0,350,92,1,1.84,1.0,4.911764705882353
4323,17604612,0,0,Berruguete,Tetuán,Entire apartment,Entire home/apt,3.0,4.0,59.0,103,25,2,0.5,1.5,4.619047619047619
4324,17607077,0,0,Puerta Bonita,Carabanchel,Private room in apartment,Private room,2.0,2.0,20.0,0,1,1,0.02,1.0,1.0
4325,17614384,0,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,2.0,114.0,258,101,1,2.15,1.0,4.608695652173913
4326,17614795,1,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,4.0,62.0,180,48,1,0.99,1.0,4.45
4327,17615538,1,1,Arapiles,Chamberí,Entire apartment,Entire home/apt,2.0,3.0,65.0,348,16,1,0.32,1.0,4.538461538461538
4328,17618461,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,3.0,105.0,365,131,1,2.64,1.0,4.67
4329,17619510,1,1,Opañel,Carabanchel,Entire house,Entire home/apt,2.0,3.0,56.0,0,106,1,2.14,1.0,4.7974683544303796
4330,17619720,1,1,Adelfas,Retiro,Private room in apartment,Private room,1.0,1.0,18.0,180,166,1,3.53,1.0,4.776978417266187
4331,17621675,0,1,San Diego,Puente de Vallecas,Entire apartment,Entire home/apt,2.0,3.0,90.0,0,31,1,0.64,1.0,4.8
4334,17629864,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,38.0,0,214,1,4.37,1.5,4.50828729281768
4340,17645452,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,52.0,250,272,7,5.51,1.0,4.771428571428571
4342,17651708,0,0,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,28.0,0,4,1,0.08,1.5,3.6666666666666665
4343,17651985,0,0,Puerta del Angel,Latina,Private room in apartment,Private room,1.0,1.0,25.0,0,21,1,0.43,1.0,4.882352941176471
